size,uniqlo,topman,boohoo
3XS,XS,XXS,XXS
XXS,XS,XXS,XS
XS,S,XS,XS
S,S,S,S
M,M,M,S - M
L,M - L,L,M - L
XL,L,XL,L
XXL,XL,XXL,XL
3XL,XL - XXL,n/a,XXL
4Xl,2XL,n/a,n/a
5XL,n/a,n/a,n/a
6XL,n/a,n/a,n/a
