size,hm,topshop,missguided,boohoo
2,n/a,n/a,n/a,n/a
4,XXS,6,n/a,4 
6,XS,8,4,6 -  8
8,S,8 - 10,6,6 - 8
10,S,12,8,10 - 12
12,M,12 - 14,10,10 - 12
14,M,14 - 18,12,14 - 16
16,L,16 - 18,14,14 - 16
18,L,n/a,16 - 18,18 - 20
20,XL,n/a,20,18 - 20
22,XL,n/a,22,n/a
24,2XL,n/a,24,n/a
26,2XL,n/a,n/a,n/a
28,3XL,n/a,n/a,n/a
30,3XL,n/a,n/a,n/a
