size,bust,waist,hips
2,73,55,80
4,76,58,83
6,78,60,86
8,81,63,88
10,86,68,93
12,91,73,98
14,96,78,103
16,101,83,108
18,109,91,116
20,116,98,123
22,123,105,130
24,130,112,137
26,137,119,144
28,144,126,151
30,151,133,158
