uk,us,eu,italy,australia,russia,japan
2,double 0,30,34,2,36/38,n/a
4,0,32,36,4,38,3
6,2,34,38,6,38/40,5
8,4,36,40,8,40,7
10,6,38,42,10,42/44,9
12,8,40,44,12,46,11
14,10,42,46,14,48,13
16,12,44,48,16,50,15
18,14,46,50,18,54,17
20,16,48,52,20,58,19
22,18,50,54,22,60/62,21
24,20,52,56,24,64,23
26,22,54,58,26,66/68,25
28,24,56,60,28,70,27
30,26,58,62,30,72/74,n/a
